ID,Name,Description,Created,Vendor,Types,Alt. Names / Keywords,Friendly URL,Subjects,More Info,Librarian Review,Popular,Permitted Uses,Hidden,Internal Note
23060871,Applied Science & Technology Abstracts (H.W. Wilson),Indexing and abstracts for scientific and technical publications back to 1983.,2016-07-06 03:55:39 PM,EBSCO,,,,,,,No,,No,
5157750,Applied Science & Technology Source,"Full text articles from trade journals, professional and technical society journals, and conference proceedings that cover research and development within the applied sciences and computing disciplines.",2014-07-08 07:18:02 PM,EBSCO,"Scholarly Articles, Trade Journals",,,"Biology, Computer Science, Office Administration, Technology, Mathematics, Engineering",,,No,,No,
2961781,Art Abstracts (H.W. Wilson),"Indexing and abstracting from 1984 covering fine, decorative and commercial art, folk art, photography, film, and architecture. Also includes a thesaurus specific to the database.",2014-07-10 02:35:36 PM,EBSCO,Scholarly Articles,,,Art,,,No,,No,
2961838,Art Museum Image Gallery,"Art images and related multimedia from museums. Includes art from the cultures of Africa, Asia, Europe, and the Americas, including Native American and Meso-American peoples. Time periods cover 3000 B.C. to the present.",2014-07-10 02:39:30 PM,EBSCO,Images,,,Art,,,No,,No,
2961865,Artstor,"Contains digital images in the arts, architecture, humanities, and social sciences that can be downloaded for research and pedagogical purposes.",2014-07-10 02:41:13 PM,,Images,,,Art,,,No,,No,
2961902,Associations Unlimited,Data from the Encyclopedia of Associations and financial information from the Internal Revenue Service (IRS) for nonprofit organizations.,2014-07-10 02:43:28 PM,Gale,"Reference, Data",,,,,,No,,No,
42026465,Biography And Genealogy Master Index,"Index to references sources and other important works that cover individuals, both living and deceased, from every sphere of activity and from all areas of the world.",2018-05-16 12:56:54 PM,Gale,Index,,,Biographies,,,No,,No,
42165592,Biography In Context,"Biographical entries covering international figures from all time periods and areas of study.  In addition to biographical details, entries may include images, news items, academic journal articles, magazine articles, audio clips, and videos.",2018-05-23 11:27:53 AM,Gale,Biographies,,,Biographies,,,No,,No,
3049349,Biography Index Retrospective: 1946-1983,"Indexing of interviews and profiles for important historical figures. Also includes obituaries, collections of letters, diaries, memoirs, juvenilia, book reviews, bibliographies, and exhibition reviews.",2014-07-14 09:36:35 AM,EBSCO,Reference,,,Biographies,,,No,,No,
3049365,Biography Reference Bank,"Includes biographical profiles, feature articles, interviews, essays, book reviews, performance reviews, speeches, images, and obituaries.",2014-07-14 09:40:17 AM,EBSCO,Reference,,,Biographies,,,No,,No,
3049374,Biography Reference Center,Full text biographies for significant individuals.,2014-07-14 09:42:55 AM,EBSCO,Reference,,,Biographies,,,No,,No,
3049386,Black Thought and Culture,"Nonfiction writings spanning from the 1700s to 2006 by major American black leaders including teachers, artists, politicians, religious leaders, athletes, war veterans, and entertainers.",2014-07-14 09:45:02 AM,Alexander Street,Primary Sources,,,"History, Ethnic Groups",,,No,,No,
3049402,Book Review Digest Plus,Book review excerpts and book summaries from 1983 to the present for current English-language fiction and non-fiction books.,2014-07-14 09:47:23 AM,EBSCO,Book Reviews,,,Book Reviews,,,No,,No,
23060984,Book Review Digest Retrospective: 1903-1982 (H.W. Wilson),Excerpts from and citations to reviews of adult and juvenile fiction and non-fiction.,2016-07-06 03:56:55 PM,EBSCO,Book Reviews,,,,,,No,,No,
42165263,Book Review Index Plus,"Citations to book reviews from 1965 to the present., including some full text content.",2018-05-23 11:17:44 AM,Gale,"Book Reviews, Index",,,Book Reviews,,,No,,No,
3054278,Books in Print,"Information for in print, out-of-print, and forthcoming books, audio books, and videos.",2014-07-14 09:49:23 AM,,"Reference, Book Reviews",,,"Book Reviews, Student Resources, Faculty Resources",,,No,,No,
24084323,Brooklyn Newsstand (historical newspapers),"Includes full run of the Brooklyn Daily Eagle newspaper, which was published from 1841 to 1955, and Brooklyn Life, a society magazine published from 1890 to 1931.",2016-08-10 04:15:07 PM,,"Historical Newspapers, Open Access",,,"History, New York City",,,No,,No,
5157752,Business Insights: Essentials,"Industry rankings, company profiles, market share data, company histories, and more.",2014-07-08 07:35:24 PM,Gale,"Scholarly Articles, Trade Journals, Data",,,"Business, Office Administration, Tourism, Hospitality, Company Information",,,No,,No,
42166210,Business Insights: Global,"Detailed global business content including industry profiles (SWOT reports, market share reports, and financial reports); company histories and industry essays; and case studies, scholarly journals, and business news .",2018-05-23 11:43:14 AM,Gale,,,,Business,,,No,,No,
5157753,Business Source Complete,"Full text and abstracts of scholarly business journals, some dating back as far as 1886.  Also contains financial data, conference proceedings, case studies, market research reports, country reports, company profiles, SWOT analyses, faculty seminars (videos), and more.",2014-07-08 07:36:10 PM,EBSCO,"Scholarly Articles, Video, Trade Journals, Data",,,"Business, Office Administration, Economics, Law, Tourism, Hospitality, Company Information, Exercise Science",,,No,,No,
5157754,Business Source Complete - Enhanced,"Use the enhanced business searching interface to browse financial data, conference proceedings, case studies, market research reports, country reports, company profiles, SWOT analyses, faculty seminars (videos), and more.",2014-07-08 07:36:52 PM,EBSCO,"Scholarly Articles, Trade Journals, Data",,,"Office Administration, Company Information",,,No,,No,
31161726,Chicago Manual of Style at Purdue Online Writing Lab,Chicago Manual of Style citation and format guide.,2017-04-17 03:42:40 PM,,,,,Citation tools,,,No,,No,
5157755,Chronicle of Higher Education,"Contains complete contents of the latest issue of The Chronicle of Higher Education as well as advice columns, current job listings, an archive of previously published content, discussion forums,  and career-building tools such as online CV management and salary databases.",2014-07-08 08:00:09 PM,,Trade Journals,,,"Education, Faculty Resources",,,No,,No,
3122925,Chronicle of Philanthropy,"News covering nonprofit organizations in health, education, religion, the arts, social services, and other fields. Also provides lists of grants, fundraising ideas and techniques, statistics, reports on tax and court rulings, summaries of books, and a calendar of events.",2014-07-14 04:58:03 PM,,Trade Journals,,,,,,No,,No,
3125039,CIAO (Columbia International Affairs Online),"Covers international political science theory and research including working papers, conferences proceedings, case studies, and course packs of background readings useful for history and political science classes. Content goes back to 1991.",2014-07-15 09:21:07 AM,,Scholarly Articles,,,"Economics, History, Political Science",,,No,,No,
5157756,CINAHL (Cumulative Index to Nursing and Allied Health Literature) Complete,"Research database covering nursing, biomedicine, health sciences librarianship, alternative/complementary medicine, consumer health and allied health disciplines. Offers access to full text journal articles, books/monographs, Evidence-Based Care sheets, health care books, nursing dissertations, conference proceedings, standards of practice, and audiovisuals, some going back to 1937.",2014-07-08 08:02:16 PM,EBSCO,Scholarly Articles,,,"Health, Nursing, Community Health",,,No,,No,
25350392,CollegeBoard.com,"Look for colleges by type of school, location, etc.",2016-09-19 09:54:38 AM,,Open Access,,,Career tools,,,No,,No,
3190560,Commentary,Archives of this opinion magazine from 1945-present.,2014-07-15 10:37:29 AM,OpinionArchives,"Opinion Journals, Single Publication",,,,,,No,,No,
3191521,Commonweal,"Archives of this opinion magazine, published since 1924.",2014-07-15 10:40:41 AM,OpinionArchives,"Opinion Journals, Single Publication",,,,,,No,,No,
3191534,Communication and Mass Media Complete,"Full text and abstracts from journals covering communications studies, some going back as far a 1915. Strong coverage for broadcasting, language and speech, linguistics, and mass media.",2014-07-15 10:41:57 AM,EBSCO,Scholarly Articles,,,"Communications, Journalism",,,No,,No,
7243252,Congress and the Nation,"Congress and the Nation covers congressional trends, actions, and political and policy controversies.  Access to vols XII and XIII only.",2014-12-15 10:35:29 AM,Sage,Ebooks,,,"Law, Political Science, Controversial Issues",,,No,,No,
3191585,CQ Researcher,Weekly reports with bibliographies covering topics in the news. Useful for exploring pro and con arguments for controversial issues.,2014-07-15 10:46:31 AM,,"Images, Data, Topic Overviews, Single Publication",,,"Current Events, Controversial Issues",,,No,,No,
22824547,Criminal Justice Database,"Journal articles covering the causes, trends, and societal impacts of crime.  Coverage back to 1981.",2016-06-29 04:27:00 PM,ProQuest,Scholarly Articles,,,Criminal Justice,,,No,,No,
24036374,CUNY Academic Works,"CUNY Academic Works is a service of the CUNY Libraries dedicated to collecting and providing access to the research, scholarship and creative work of the City University of New York. In service to CUNY’s mission as a public university, content in Academic Works is freely available to all.",2016-08-09 01:44:24 PM,,Open Access,,,,,,No,,No,
25885308,"Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition","Full text of the American Psychological Association's Diagnostic and Statistical Manual of Mental Disorders (DSM), Fifth Edition.",2016-10-07 03:59:39 PM,,,DSM,,"Health, Psychology",,,No,,No,
3209484,Dictionary of Literary Biography Complete Online,"Biographical and critical essays on the lives, works, and careers of authors from around the world who represent all eras and genres.",2014-07-15 01:53:55 PM,Gale,Reference,,,"Theater, Literature, Biographies",,,No,,No,
3209657,Dissent,Archives of this opinion magazine dating to 1954.,2014-07-15 02:07:45 PM,OpinionArchives,"Opinion Journals, Single Publication, Criticism",,,Political Science,,,No,,No,
5157758,Dissertations & Theses Global,Collection of dissertations and theses from 1861 to present with full text for most works from 1997 to present.,2014-07-08 08:08:00 PM,ProQuest,"Scholarly Articles, Dissertations",,,"Anthropology, Technology, Journalism, Theater, Film, Criminal Justice, Economics, Education, Environment, Literature, Foreign Languages, Health, History, Law, Mathematics, Nursing, Philosophy, Religion, Astronomy, Chemistry, Physics, Engineering, Sociology, Women's and Gender Studies, Art, Music, Ethnic Groups, Medicine, Nutrition, Faculty Resources, Library Science, LGBTQ Studies, Science, Geography, Jewish Studies",,,No,,No,
24035088,"Dissertations:  CUNY Graduate Center Legacy (Retrospective) Dissertations, 1965-2014","Current CUNY students, faculty and staff can log in with their library barcode to access Graduate Center dissertations and capstones from 1965-2014. (Pre-2014 master's theses are available only in print).",2016-08-09 01:17:32 PM,,"Scholarly Articles, Dissertations",,,,,,No,,No,
4348593,DOAJ: Directory of Open Access Journals,"DOAJ is an online directory that indexes and provides access to quality open access, peer-reviewed journals. ""Open access"" journals are those that do not charge subscription or other fees.",2014-08-12 11:43:42 AM,,"Scholarly Articles, Open Access",,,"Anthropology, Biology, Computer Science, Office Administration, Technology, Communications, Journalism, Theater, Film, Criminal Justice, Education, Environment, Literature, Foreign Languages, Health, History, Law, Mathematics, Nursing, Philosophy, Religion, Astronomy, Chemistry, Physics, Engineering, Psychology, Sociology, Tourism, Hospitality, Women's and Gender Studies, Art, Music, Ethnic Groups, Medicine, Nutrition, Faculty Resources, Library Science, LGBTQ Studies, Science, Geology, Geography, Jewish Studies",,,No,,No,
4510785,EasyBib,This website will help you create citations using only MLA style.  Go to RefWorks (A-Z List of Databases) for a citation manager that helps with all citation styles.,2014-08-19 03:05:05 PM,,,,,"Student Resources, Faculty Resources, Citation tools",,,No,,No,
4351732,Ebrary,E-books on numerous subjects.,2014-08-12 02:41:49 PM,ProQuest,Ebooks,,,"Anthropology, Computer Science, Office Administration, Technology, Communications, Journalism, Theater, Film, Criminal Justice, Education, Environment, Literature, Health, History, Law, Mathematics, Nursing, Philosophy, Religion, Astronomy, Chemistry, Physics, Engineering, Psychology, Sociology, Tourism, Hospitality, Women's and Gender Studies, Art, Music, Book Reviews, Ethnic Groups, Medicine, Biographies, Nutrition, Library Science, LGBTQ Studies, Science, Geology, Geography, Jewish Studies","Ebook subjects include: Business & Economics, Computers & IT, Education, Engineering & Technology, History & Political Science, Humanities, Interdisciplinary & Area Studies, Language, Literature & Linguistics, Law, International Relations & Public Policy, Life Sciences, Medical, Nursing & Allied Health, Physical Sciences, Psychology & Social Work, Religion, Philosophy & Classics, Sociology & Anthropology",,No,,No,
3211386,EBSCO,Use to search multiple EBSCO databases simultaneously.,2014-07-15 04:16:08 PM,EBSCO,,,,"Anthropology, Technology, Communications, Film, Criminal Justice, Education, Literature, History, Law, Philosophy, Religion, Tourism, Hospitality, Women's and Gender Studies, Art, Book Reviews, Biographies, Library Science, Science",,,No,,No,
8877735,EBSCO eBook Collection,"Titles covering social justice issues added in Aug. 2016, made possible by a gift in the memory of Dr. Stephen Weidenborner.  Other recently added titles cover civil rights, mass incarceration, and gentrification.",2015-03-03 12:33:10 PM,EBSCO,Ebooks,,,,,,No,,No,
3211420,EBSCO Mobile,"Use to search EBSCO databases on a mobile device. Also, visit an App Store to download the free EBSCOhost App for iPhone or Andriod devices.",2014-07-15 04:19:29 PM,EBSCO,,,,"Anthropology, Technology, Communications, Film, Criminal Justice, Education, Literature, History, Law, Philosophy, Religion, Tourism, Hospitality, Women's and Gender Studies, Art, Book Reviews, Biographies, Library Science, Science",,,No,,No,
3214296,EconLit - American Economic Association Index,American Economic Association's citations and abstracts to economic research dating back to 1969.,2014-07-16 10:16:06 AM,EBSCO,Scholarly Articles,,,"Business, Economics, Book Reviews",,,No,,No,
3214463,Economist,Searchable historical archive for The Economist going back to 1843. The archive has a moving wall of four years.,2014-07-16 10:27:49 AM,Gale,"Opinion Journals, Single Publication",,,"Business, Journalism, Current Events, Political Science",,,No,,No,
3214630,Education Source,"Full text articles covering all levels of education from early childhood to higher education. Also includes educational specialties such as multilingual education, health education, and testing.",2014-07-16 10:42:38 AM,EBSCO,Scholarly Articles,,,"Education, Community Health, Physical Education",,,No,,No,
3214555,Education: Professional Development Collection,"Full text articles targeted for professional educators, librarians, and education researchers. Coverage includes children's health and development and pedagogical theory and practice.",2014-07-16 10:36:23 AM,EBSCO,"Scholarly Articles, Book Reviews",,,"Education, Library Science",,,No,,No,
26061799,Employment Projections from the New York State Department of Labor,Expected employment growth and annual openings for all published occupations in New York State and its ten labor market regions.,2016-10-14 01:28:01 PM,,"Data, Open Access",,,Career tools,,,No,,No,
3230523,Encyclopædia Britannica Online,Full text of Encyclopædia Britannica plus Merriam-Webster’s Collegiate Dictionary and Thesaurus.,2014-07-16 10:51:32 AM,,"Reference, Primary Sources",Britannica,,General Reference,,,No,,No,
3275593,Environment Complete,"U.S. and international publications going back to 1888 covering agriculture, ecosystem ecology, energy, renewable energy sources, natural resources, marine and freshwater science, geography, pollution and waste management, environmental technology, environmental law, public policy, social impacts, urban planning, and more.",2014-07-16 10:59:08 AM,EBSCO,"Scholarly Articles, Book Reviews",,,"Biology, Environment, Science, Geology",,,No,,No,
3275868,ERIC - Education Resources Information Center,Provides access to education literature and resources included in the Current Index of Journals in Education and Resources in Education Index. Coverage back to 1966.,2014-07-16 11:04:32 AM,EBSCO,Scholarly Articles,,,"Education, Physical Education",,,No,,No,
3275932,Essay & General Literature Index (H.W. Wilson),An index to essays found in anthologies and collections published since 1985.,2014-07-16 11:09:18 AM,EBSCO,Criticism,,,"Theater, Film, Literature, Foreign Languages, History, Philosophy, Religion, Women's and Gender Studies, Art, LGBTQ Studies",,,No,,No,
3280660,Essay & General Literature Retrospective (H.W. Wilson),"Bibliographic database that cites essays, articles, and miscellaneous works published in the United States, Great Britain, and Canada from 1900 to 1984.",2014-07-16 05:10:23 PM,EBSCO,Criticism,,,"Theater, Film, Literature, Foreign Languages, History, Philosophy, Religion, Women's and Gender Studies, Art, LGBTQ Studies",,,No,,No,
3280792,Ethnic Newswatch,"Full text of newspapers, magazines, and journals of the ethnic and minority press, providing access to often overlooked perspectives. Coverage goes back to 1990.",2014-07-16 05:18:23 PM,ProQuest,"Scholarly Articles, Newspapers, Magazine articles, Opinion Journals",,,"Journalism, Education, Foreign Languages, Current Events, Ethnic Groups, LGBTQ Studies, Jewish Studies",,,No,,No,
20543508,Exercise and Sport Sciences Reviews,"Covers scientific issues related to exercise, movement, physical activity and/or sport.  Available from 1973 to 12 months ago.",2016-03-30 10:06:25 AM,,"Scholarly Articles, Open Access",,,Exercise Science,,,No,,No,
32628406,Foreign Policy,"News focusing on global affairs, current events, and domestic and international policy",2017-06-05 02:50:05 PM,,Magazine articles,,,"Current Events, Political Science",,,No,,No,
3280877,Gale Academic OneFile,"Full text academic journal articles and reference sources covering a variety of topics. Strong coverage for the sciences, medicine, engineering, and business",2014-07-16 05:28:46 PM,Gale,"Scholarly Articles, Book Reviews",,,"Anthropology, Biology, Computer Science, Office Administration, Technology, Communications, Journalism, Film, Criminal Justice, Education, Environment, Literature, Health, History, Law, Mathematics, Nursing, Religion, Astronomy, Chemistry, Physics, Engineering, Psychology, Sociology, Tourism, Hospitality, Women's and Gender Studies, Art, Music, Book Reviews, Ethnic Groups, Nutrition, LGBTQ Studies, Science, Geology, Geography, Jewish Studies",,,No,,No,
3281002,Gale General OneFile,General interest periodicals and news sources going back thirty years. Includes travel guides and National Public Radio programs.,2014-07-16 05:48:28 PM,Gale,Magazine articles,,,Current Events,,,No,,No,
5157759,Gale Virtual Reference Library,"Entries from encyclopedias, dictionaries, and other reference works in all subjects.  Preferred starting point for online research.",2014-07-08 08:23:26 PM,Gale,"Reference, Ebooks, Topic Overviews, *Most Popular",,,"Anthropology, Biology, Business, Computer Science, Communications, Theater, Film, Criminal Justice, Education, Environment, Literature, Health, History, Law, Nursing, Philosophy, Religion, Astronomy, Physics, Engineering, Psychology, Sociology, Hospitality, Music, Ethnic Groups, General Reference, Political Science, Biographies, Nutrition, Community Health, Jewish Studies",,,Yes,,No,
3281069,Gartner IT Research,"Log into the CUNY Portal to access research reports focusing on technological practices, best practices, and standards. Reports are available only available with a CUNY Portal username and password.",2014-07-16 05:54:51 PM,,"Scholarly Articles, Trade Journals",,,"Technology, Science",,,No,,No,
3281146,General Science Full Text (H.W. Wilson),"Full text back to 1995 and indexing back to 1984. Subject coverage includes astronomy, biology, botany, chemistry, conservation, health and medicine, oceanography, physics, and zoology.",2014-07-16 06:00:09 PM,EBSCO,Scholarly Articles,,,"Biology, Health, Mathematics, Nursing, Astronomy, Chemistry, Physics, Medicine, Science, Geology",,,No,,No,
3309876,Geoportal,"GIS (Geographic Information Systems) data and maps, plus information about GIS facilities and education at Baruch College.",2014-07-17 02:27:50 PM,,"Images, Data",,,"Tourism, Hospitality, Geography",,,No,,No,
3309972,Gerontologist,Publication of the Gerontological Society of America that provides a multidisciplinary outlook on human aging. Full text archive available back to 1996.,2014-07-17 02:35:21 PM,Oxford University Press,"Scholarly Articles, Book Reviews",,,"Health, Nursing, Medicine, Community Health",,,No,,No,
4511555,"Gerontology, The Journals of, Series A",Publication of the Gerontological Society of America covering biological and medical science with respect to human aging.  Full text archive available back to 1996,2014-08-19 03:45:58 PM,Oxford University Press,Single Publication,,,,,,No,,No,
42214326,Global Issues In Context,"International viewpoints for current issues in the news.  Includes news articles, global viewpoints, reference materials, country information, primary source documents, videos, statistics, and more.  Updated daily.",2018-05-25 10:30:49 AM,Gale,,,,"Current Events, Controversial Issues",,,No,,No,
29442464,GrantForward Database,Database of funding opportunities.  Register using your cuny.edu email address.,2017-02-16 04:12:53 PM,,Research Funding,,,Faculty Resources,,,No,,No,
3310340,GreenFile,"Scholarly, general interest titles, and government documents that focus on the relationship between human beings and the environment. Topics include global warming, recycling, alternate fuel sources, and more.",2014-07-17 02:56:50 PM,EBSCO,Scholarly Articles,,,"Biology, Environment, Chemistry, Government Publications",,,No,,No,
42214923,GREENR (Global Reference On The Environment/Energy/And Natural Resources),"Reference content in the area of the environment, energy and natural resources.  Includes academic journal articles, news articles, and case studies.",2018-05-25 10:34:03 AM,Gale,,,,Environment,,,No,,No,
3310542,Harper's,Archives of this opinion magazine dating to 1850.,2014-07-17 03:07:51 PM,,"Magazine articles, Opinion Journals, Single Publication",,,"Journalism, History, Current Events",,,No,,No,
42214982,Health & Wellness Resource Center,"Consumer health center covering current disease and disorder information as well as alternative medical practices.  Includes full-text medical journals, magazines, reference works, multimedia, and more.",2018-05-25 10:38:50 AM,Gale,,,,Health,,,No,,No,
3310630,Health Reference Center Academic,"Up-to-date information on a range of health care topics. Full text sources in medicine, nursing and allied health",2014-07-17 03:13:54 PM,Gale,"Scholarly Articles, Video, Images",,,"Health, Nursing, Nutrition, Community Health, Exercise Science",,,No,,No,
3310682,Health Source: Nursing/Academic Edition,"Scholarly full-text journals focusing on many medical disciplines, strong coverage of nursing and allied health. Includes the Lexi-PAL Drug Guide that covers generic drug patient education sheets",2014-07-17 03:17:39 PM,EBSCO,Scholarly Articles,,,"Health, Nursing, Nutrition, Community Health",,,No,,No,
3310761,Highwire Press,"Citations and abstracts with some full text of scholarly, scientific and technical journals, reference works, books, and conference proceedings.",2014-07-17 03:23:36 PM,,"Scholarly Articles, Reference, Open Access",,,"Technology, Science",,,No,,No,
24085937,Historic American Newspapers,"Digitized historic American newspapers including the following New York papers: The Evening World, The Sun, The New York Tribune, and The New York Herald.",2016-08-10 04:46:59 PM,,"Historical Newspapers, Open Access",,,History,,,No,,No,
5157760,Historical <em>New York Times</em> - 1851 to 2013,Digital files of The New York Times from 1851 to 2013.,2014-07-08 08:33:38 PM,ProQuest,"Single Publication, Historical Newspapers, *Most Popular",,,"History, Controversial Issues, New York City",,,No,,No,
38918496,Holocaust Archives:  Holocaust and the Concentration Camp Trials: Prosecution of Nazi War Crimes (1944-1949),"Collection includes primary source documents on the investigation and prosecution of war crimes committed by Nazi concentration camp commandants and camp personnel. Documents include: correspondence; trial records and transcripts; investigatory material; clemency petitions and reviews; photographs of atrocities; newspaper clippings; and pamphlets. Camps and sub-camps are represented include Mauthausen, Dachau, Belsen-Bergen, Buchenwald, Treblinka, Sobibor, sub-camp Gros-Raming, sub-camp Gusen I, sub-camp Ebensee, and others.",2018-01-16 04:34:00 PM,Gale,Primary Sources,,,"History, Jewish Studies, Holocaust Resources",,,No,,No,
3310877,Humanities & Social Sciences Index Retrospective: 1907-1984 (H.W. Wilson),Index of a broad range of humanities and social subjects dating back to 1907.,2014-07-17 03:35:44 PM,EBSCO,"Scholarly Articles, Book Reviews",,,"Anthropology, Theater, Film, Literature, Foreign Languages, History, Philosophy, Religion, Sociology, Women's and Gender Studies, Art, LGBTQ Studies",,,No,,No,
3310933,Humanities Source,"Full text articles related to literary, scholarly and creative thought",2014-07-17 03:42:33 PM,EBSCO,"Scholarly Articles, Trade Journals",,,"Theater, Film, Literature, Foreign Languages, History, Philosophy, Religion, Women's and Gender Studies, Art, Book Reviews, Political Science, LGBTQ Studies",,,No,,No,
4510189,ICPSR ( Inter-university Consortium for Political and Social Research),"Find and analyze data from this website created by the University of Michigan. ICPSR is the world's largest archive of computer-readable social science data.  In addition to archiving collections from disciplines such as sociology, political science, history, and economics, ICPSR has seven special emphases in gerontology, substance abuse and mental health, criminal justice, child care, health and medical care, education, and demography.",2014-08-19 02:34:41 PM,,"Data, Open Access",,,"History, Sociology, Statistics",,,No,,No,
10187508,IEEE Xplore Digital Library,"Full text scientific and technical journal articles, magazine articles, and conference proceedings going back to 1988 that are published by the IEEE (Institute of Electrical and Electronics Engineers) and its partners",2015-04-30 11:00:32 AM,,,,,"Computer Science, Technology",,,No,,No,
3311080,Infoshare,Demographic and socioeconomic statistical data for New York City and New York State.,2014-07-17 03:58:59 PM,,Data,,,"Government Publications, Statistics",,,No,,No,
3311124,InfoTrac Newsstand,"Full-text national, international, state, and local newspapers with coverage starting from 1980.",2014-07-17 04:02:10 PM,Gale,Newspapers,,,"Office Administration, Journalism, Current Events",,,No,,No,
30714082,"International Health, Racquet and Sportsclub Association (IHRSA)",Statistics for the health club industry,2017-04-03 10:43:01 AM,,Open Access,IHRSA,IHRSA,Exercise Science,,,No,,No,
3211388,JAMA,Journal of the American Medical Association from 1998 to present.,2014-07-15 04:16:31 PM,,"Scholarly Articles, Single Publication",,,"Health, Nursing, Medicine, Community Health",,,No,,No,
3211428,JSTOR,"Scholarly journals covering the humanities, social sciences, and sciences. Includes letters, oral histories, government documents images and 3-D models. Features the Metropolitan Museum of Art Bulletin and the MoMa newsletter among others.",2014-07-15 04:20:03 PM,,"Scholarly Articles, Criticism, *Most Popular",,,"Anthropology, Journalism, Film, Economics, Literature, History, Law, Philosophy, Religion, Sociology, Women's and Gender Studies, Art, Book Reviews, Political Science, LGBTQ Studies, Jewish Studies",,,No,,No,
3211442,La Follette's,Archives of this opinion magazine from 1909-1929.,2014-07-15 04:21:58 PM,OpinionArchives,Opinion Journals,,,,,,No,,No,
3211521,Legal Source,"Full-text coverage of current issues, studies, and trends in the legal world. Topics include criminal justice, international law, federal law, organized crime, medical law, labor & human resource law, ethics, and the environment.",2014-07-15 04:34:07 PM,EBSCO,"Scholarly Articles, Trade Journals",,,"Criminal Justice, Law, Political Science",,,No,,No,
